Category,Label,Reviews,Sentiment,Emotion
Phone,1,Nokia पे में तो अब ट्रस्ट नही कर सकते... BL5C का सुनने के बाद मेने नोकिया का मोबाईल फेक दिया था... नोकिया ने 2010 के आसपास हमे ANDROID दिया होता तो शायद दुनिया की सबसे बडी मोबाईल कंपनी होती...,negative,sadness
Book,0,भारत का संविधान तो अच्छा हैं ही भारत के सभी लोगो को पढ़ना चाहिए क्यो इसमे आप के अधिकार छुपे हैं,positive,happiness
Book,0,आज ही पढ़ डालिए बेहतर से भी बेहतर के लिए न एक इंच कम न एक सूत ज्यादा एक्जैक्ट उतना ही अब आते हैं कहानी पर तो कहानी दो दोस्तों की है संजय और रफ़ीक़! जैसा कि भैया ने पहले ही बताया है कि कहानी दो लोगों की हो सकती है मगर दो लोगों से पूरी नही होती संजय छात्र राजनीति में अध्यक्ष पद के लिए जान जहान एक किये हुए था वहीं रफ़ीक़ के आत्मा में संजय बसता था दोनों मियाँ और नेता के बीच हुए सारे संवाद एकदम मज़ेदार हैं! उन्हें पढ़ते वक़्त चेहरे पर मुस्कुराहट लगातार बनी रहती है फिर कहानी में कुछ ऐसा हो जाता है जिससे की संजय रफ़ीक़ के साथ साथ आपकी भी मुस्कुराहट हवा हो जाती है कथा एकदम बवाल! इतिहास की नींव को लेकर रचा गया कथा! इतना जबरदस्त की फेवरेट किताबों वाली लिस्ट में सबसे मुख्यमंत्री नीतीश कुमार पढ़ लें तो तुरन्त प्रशांत किशोर को हटाकर जदयू का सारा प्रबंधन संजय के हाथों में दे दे एक ररहस्मयी किरदार भी है जिसके बल पर पूरी कहानी है जरूर पढिये आज ही किताब ऑर्डर करें लिंक नही देंगे थोड़ा मेहनत कीजिये खुद से खोजिए,positive,happiness
Book,0,जबर हौ गुरु..!!,positive,happiness
Book,0,जनवरी में अक्टूबर जंक्शन वाह.... हम तो अब तक स्टेशन पर बैठे हैं...बहुत शुभकामनाएं,neutral,other
Book,0,लव यू दुबे जी,positive,happiness
Book,0,औघड़ जय हो,positive,happiness
Book,0,नई किताब के लिए बहुत बहुत शुभकामनाएं मैं अक्सर दोस्तो को गिफ्ट में आपकी किताब दे देता हूं बधाइयां,positive,happiness
Book,0,पुरुषोत्तम राम के रूप में इसलिए की यह एक नए तरह से अलग किन्तु प्रभावशाली ढंग से एक सनातन चरित्र को रामायण के कुछ ऐसे रहस्योद्घाटन किया है जिनके बारे में किसी को नहीं पता था,positive,happiness
Book,0,यह पुस्तक महिलाओं और दलित समाज का शोषण करने वाली है बाबासाहेब डॉक्टर भीमराव अंबेडकर जी ने इसे जला कर हम सभी को यह संदेश दिया था की यह देश संविधान से चलेगा मैं महिलाओं को पुरुषों का गुलाम दलितों को अछूत बताया गया है हम सभी को मिलकर,negative,other
Book,0,जितनी भी तारीफ की जाए इस किताब की उतनी कम ही होगी...अद्भुत किताब और बलिया से होने के नाते ये किताब दिल के करीब हो गयी,positive,happiness
Book,0,बहुत बढ़िया किताब है भाषा को पढ़ने में मज़ा आया मनोरंजक ऐसा लगा कि किताब पढ़ नही जी रहे हो around us and that too with थोड़ा नमक but पूरी तरह से स्वादानुसार . Its not,positive,happiness
Book,0,कहानी का शानदार आग़ाज़ बेहतरीन अंदाज़ आप आगे पढ़ने के लिए मजबूर होते हैं,positive,happiness
Book,0,पाने और खोने के बीच जूझती जिंदगी,neutral,other
Phone,1,this is wrong sir एक तरफ हम सब मील कर चाइना कि वस्तु का वहिष्कार कर रहे है और सर आप उस को ही promote कर रहे हो boycott chaina prodect   ,negative,anger
Book,0,वे लिखते हैं कि मनुष्य अपने चारों ओर व्याप्त एक मिलीजुली विशिष्ट धार्मिक सामाजिक आर्थिक राजनीतिक व्यवस्थाओं में जीवन जीते हैं और उन्हीं को अपनी पहचान मानते हैं इस तरह से वे उनसे बंधे होते हैं और भविष्य की दुनिया को बदले स्वरूप में देखने के लिए इतिहास को नए सिरे से लिखना जरूरी होता है किंतु तब निश्चित रूप से हमारे दिमागों में यह आशंका बन जाती है कि कहीं इतिहास को छेड़ने से स्थिति और अधिक न बिगड़ जाए या हम दोबारा आदिम व्यवस्थाओं की ओर अग्रसर न हो जाएँ,neutral,other
Book,0,बहुत ही प्रेरक पुस्तक परंतु बहुत छोटी लेखक से अनुरोध है कि थोड़ा पुलिस सेवा का भी हर क्षेत्र में संघर्षरत लोगों के लिए यह किताब बहुत ही उपयोगी है,positive,happiness
Book,0,बहुत ही गहरी और मौलिक,positive,happiness
Phone,1,सर इसका बैटरी बैकअप  3 घंटा चलता है,negative,sadness
Book,0,मेरा मानना है कि अब IAS के मैट्रिक्स(?) के लिए UPSC सृजित चक्रव्यूह को भेदना सीखने के लिए मुखर्जी नगर का तीर्थाटन करने वाले लोग दो श्रेणियों में बांटे जाते हैं एक जिन्होंने टेव्लेथ फेल पढ रखी है दूसरे जिन्होंने नहीं पढ़ी !!!,positive,happiness
Book,0,मैं बता दूंगा तो आप पढ़ेंगे क्या और अगर यह नहीं पढ़ा तो पढ़ा ही क्या,positive,happiness
Book,0,गजब का लेखन और सजीव चित्रण,positive,happiness
Phone,0,गांधी की सोच गलत नहीं थी भाई.. गांधी ने बहुत सारे अच्छे काम भी किए हैं... उदाहरण बहुत सारे मिल जाएंगे इतिहास में आपको... बस एक गलती गांधीजी से हुई..इसमें वह भी क्या कर सकते थे यार पावर उनके हाथ में नहीं था... जानते हुए भी पाकिस्तान अलग राष्ट्र बनने वाला है चुप रहे कुछ नहीं बोले.. अगर वह चाहते तो विद्रोह कर सकते उनको चुप रहने के लिए धमकी मिल रही थी.. वह चुप रहे कुछ नहीं बोले सब तमाशा देखते रहे.. इसीलिए नाथूराम गोडसे जी को यह कदम उठाना ,negative,sadness
Book,0,मज़ा आ गया पढ़ के! Very gripping!! started....किसी ने सही कहा है reviews मैं जिस किताब के किरदार किताब खत्म करने बाद भी आपके साथ रहे तो किताब सफल है Good work by Divya Prakash Dubey he is the,positive,happiness
Book,0,बहुत ही अच्छी किताब आपकी सोच पर चोट करती है,positive,happiness
Phone,1,"गुरुजी इसमें भी डिस्प्ले पर ओपन क्लोज़ करने के बाद लकीर जैसा कुछ बन जा रहा है,जो कि सही नही है।",negative,sadness
Book,0,आप सब इस किताब को जरूर पढ़ें ट्विटर फेसबुक पे जो भ्रम फैलाई जाती है कुछ मिडिया चैनलों के द्वारा उसका सही विशलेषण इस किताब में है इसलिए रवीश कुमार जी ने सोशल मीडिया का सहारा नहीं लेते हुए किताब के जरिये लोगों तक अपनी बात पहुँचाई होगी,positive,happiness
Book,0,यह पुस्तक पढ़ने के बाद किसी भी व्यक्ति के अंदर जोश पैदा कर देगी खासकर उनके लिए जो जीवन में कुछ करना चाहते हैं,positive,happiness
Book,0,दुनिया का समस्त ज्ञान व्यर्थ है यदि आप एक स्त्री मन को नहीं पढ़ पाते,neutral,other
Book,0,#REF!,positive,happiness
Book,0,#REF!,neutral,sadness
Book,0,गाँव की यादें,positive,happiness
Book,0,प्यार के हजारों सालो के इतिहास में Move On कर जाना सबसे वाहियात ख़ोज है जो Move On नहीं कर पाते वो प्यार की असली यात्रा पर निकलते हैं!Must Read #मुसाफिर_Cafe,positive,happiness
Book,0,हिंदी साहित्य को ज़िंदा रखने की खूबसूरत कोशिश वरना आजकल हिंदी साहित्य से लोग दूर होते जा रहे हैं,neutral,other
Book,0,ये कहानी दो ऐसे युवको की है जो छोटे शहर से अपने सपनो को सच करने दिल्ली जैसे बड़े महानगर की और रुख करते है एक जिंदगी को बेहतर ढंग से जीने के लिए मेहनत करता है और दूसरा जिंदगी को ही बेहतरीन बना लेता है सत्य व्यास जी ने अपने लेखन के माध्यम उन सभी युवाओं की कहानी से रूबरू कार्य है जो असल जिंदगी में घट चुका है और और भविष्य में घटना घटने वाली है,neutral,other
Book,0,लगभग मुसाफ़िर कैफ़े सी फीलिंग आयी पढ़के,positive,happiness
Book,0,बहुत ही उम्दापूरी किताब शुरू से ही आपको बाँध के रखती है महज घन्टे मे पूरी पुस्तक खत्म कर दिया किरदारों को जीवंत करके रख दिया है,positive,happiness
TV,1,43 लाख रुपये मे तो बहुत कुछ आ सकता है १ टीवी पर इतना पैसा बेकार नहीं किया जा सकता है ,negative,sadness
Book,0,बनारस टॉकीज BHU के एक हॉस्टल में रह कर कानून पढ़ने वाले युवाओं की कहानी है कहानी भी क्या बस उनकी बातें कोर्स के तीन साल हॉस्टल की जिंदगी पर लुभाती है इस किताब की भाषा जो विशुद्ध बनारसी है यहां बनारस में जब आप किसी बात पर मुस्कुरा रहे होते हैं तो दरअसल दूसरों के लिए ये आपका खिखियाना है यहां मारना हूरना हो जाता है किसी को आप हूर दें तो वो गिरता नहीं है छितरा जाता है कहते हैं कि बनारसी गाली बहुत देते हैं... अजी सब झूठ बोलते हैं गली गली में गाली दी जाती है पर वो गालियाँ मां बहन वाली नहीं होती हाँ ये जरूर है कि इतनी काव्यात्मक शैली में बोली जाती है कि बाहरी को लगता है कि यार ये लोग तो बड़े गालीबाज हैं प्रसिद्ध ब और भ शब्द तो कोई गाली हैं ही नहीं बाकी गालियां जैसे बकलोल बकचोंहर सरऊ सार को आप गाली मान लें तो कोई क्या कर सकता है अरे यहां तो एक बा रजा बोलेगा तो दूसरा का गुरु अगर बनारस को जीना है BHU को जानना है तो ये किताब जरूर पढ़िए,positive,happiness
Book,0,सच्चाई दिखाई गई है इस किताब में  जो इंसान इसके शब्दों के ऊपर अमल करता है वो जरूर ,positive,happiness
Phone,0,इस मोबाइल की बैटरी मुझे बहुत पसंद आए जो यह बैटरी सैमसंग को a 50 में देना चाहिए था उसमें नहीं दिए कोई बात नहीं इसमें दिए हैं यह मोबाइल बहुत ही अच्छा है processing system ko aur Badhana tha is mein ,positive,happiness
Book,0,ऐसी वैसी औरतअंकिता जैन जी द्वारा लिखी गई पुस्तककिताबों को पढ़ते पढ़ते मेरे हाथ लगी एक यह पुस्तक ऐसी वैसी औरत जिसकी अभी तक केवल तीन कहानियां पढ़ी हैं मैने ( ) मलिन भौजी ( ) छोड़ी हुई औरत ( ) प्लेटफ़ार्म नंबर दो लेकिन तीनों कहानियों ने मुझे अंदर तक झकझोर दिया कहानी पढ़ते वक्त ऐसा महसूस कर रहा था जैसे शरीर से आत्मा निकल चुकी है केवल शरीर बाकी बचा है मुझमे #प्लेटफ़ार्म_नंबर_दो को पढ़ते पढ़ते आँखे तक भर आईं थी मेरी छोटी बहन बोली भैया क्या हुवा और मेरे मुँह में केवल एक ही शब्द था #इरम को बेच दिया किसी हैवान के हाथों में एक औरत ने ये दवा पी लो इरम इससे बहुत जल्द तुम्हें तकलीफ से छुटकारा मिल जाएगा पूजा ने एक काँच की शीशी इरम के मुँह से लगाते हुए कहा तू रो मत मैं जल्दी ठीक हो जाऊँगी इरम ने पूजा की आँखों में देखते हुए कहा जिनमें आँसुओं का सैलाब उमड़ा था दवाई पीते ही वह फिर आँखे बंद करके लेट गई उसके लेटते ही पूजा ने भी उस शीशी की बाकी दवाई पी और इरम के बग़ल में लेट गई अगले पाँच मिनट पूरे होते ही जब नर्स देखने आई तो दोनों हमेशा के लिए सो चुकी थी कहानी का अंत कहानी के अंत को पढ़कर मुझे बहुत शुकुन मिला जैसे कोई कैदी जेल से छूटता है बिल्कुल वैसा अगर इरम इस घटना के बाद भी जिंदा रहती तो कहानी के साथ साथ इरम रोज मरती हर दिन मरती समाज में भरी दरिंदगी उसे हररोज नोचती और इरम के साथ साथ यह कहानी भी मर जाती लेकिन अब यह कहानी दिल मे उतरेगी जो भी इसे पढ़ेगा इस बुक की तीन कहानियों में ही अपना रिवयू दिए बिना नही रोक पाया ★★★★★सभी पुरुषों को एक बार ऐसी वैसी औरत जरूर पढ़नी चाहिए,positive,surprise
Book,0,पहले की भांति बहुत शानदार दिल्ली दरबार और बनारस टाकीज के बाद एक और जबरदस्त प्रस्तुति आशा है आगे और भी अच्छी प्रस्तुतियां मिलेंगी,positive,happiness
Phone,0,इस फोन की लुक्स बहुत बढ़िया है और कैमरा भी बहुत अच्छा है,positive,happiness
Book,0,कैशफ़्लो प्रबंधन पर सबसे अच्छी किताब है,positive,happiness
Headphones,1,Sir ji amazon पे आपके बताये गए रेट से कुछ ज्यादा रेट है।fusion 100 का price ₹1599/-,negative,sadness
Book,0,शब्द थोड़े कम हैं इस बुक के फीडबैक में....क्युकी बेहत रिन और,positive,surprise
Book,0,बेहतरीन पुस्तक कथा की शुरुआत ही पढ़ने की जिजीविषा को बढ़ा देती है मानो कथा अगर आपने पढ़नी शुरू कर दी है तो बिना खत्म किए आगे बढ़ना मुश्किल होगा लेखक को अशेष शुभकामनाएं,positive,happiness
Book,1,पृष्ठ संख्या के बाद के पृष्ठ उल्टे लगाए गए हैं,negative,sadness
Book,1,चोरी किया हुआ लेखन,negative,disgust
Book,0,किताब के शुरू होने से पहले प्रस्तावना पढ़कर ही आप लेखक से जुड़ जाएँगे और आपका किताब ख़रीदना काफ़ी हद तक सार्थक हो जाएगा पूरे किताब में बहुत कुछ ऐसी बातें कही गयी है जिसे आप अंडरलाइन करना और बार बार पढ़ना चाहेंगे,positive,happiness
Book,1,सब इधर उधर का चोरी किया हुआ लिखा है...मकसद फिल्मों में स्क्रिप्ट लिखने का काम करना...भाई कामयाब हो जाएगा...,negative,sadness
Phone,1,प्रोसेसर के साथ प्राइस मज़ा नही ,negative,sadness
Phone,0,नमस्कार गौरव भाई... कमाल का फोन है तबाही  तबाही मनभावन फोन ,positive,surprise
Book,0,दो गावों की कहानी है औघड़ गांव मे जिस तरह से जातिय भेदभाव देखने को मिलता है उसे लेखक ने बखूबी अंजाम दिया है जिसमें लेखक जाति की जड़ को तलाशते हुए कहता है कि हिंदुस्तान में ऊंची जाति के बारे में पता करना तो आसान है लेकिन नीची जाति की खोज आज भी जारी है साथ ही लेखक ने प्रशासन के क्रियाकलापों का बहुत ही निर्ममतापूर्वक उजागर किया है जिसे दरोगा के किरदार से समझाने की कोशिश की है लोकतंत्र के चौथे स्तम्भ पर भी जमकर हमला बोला है मीडिया को लोकतंत्र में चौथा स्तम्भ बोला जाता है परंतु वर्तमान परिदृश्य में वह भी कॉरपोरेट घरानों और राजनीतिज्ञों के हाथ का टट्टु बनकर रह गया है साथ ही लेखक ने औघड़ के ज़रिए सामंतवादी मानसिकता को पूरी तरह से चुनौती देने का प्रयास किया है अन्ततः मैं यही कहना चाहूंगा कि ‘औघड़’ मात्र मलखानपुर गांव की कहानी नहीं बल्कि हिंदुस्तान के हर एक गांव की कहानी है,positive,happiness
Book,0,आप बेहतरीन लेखक है आपकी लेखनी और विश्लेषण की क्षमता तारीफ के काबिल है लेकिन इस तरह हिन्दू धर्म मे मुर्दाखोरी होती थी जान कर आश्चर्य हुआ साथ ही गुस्सा भी आया,positive,happiness
Book,0,प्रेम प्रेम है,positive,happiness
Book,0,किसी कोर्टकेश को आधार बनाकर लेखक ने कहानी गढ़ी है किंतु आदर्शवाद के मोह ने मजा किरकिरा कर दिया है; अवास्तविक लगती है शिल्प का गठन भी ढ़ीला है सिनेमा की स्क्रिप्ट जैसी लगती है सुखान्त आखिर में वैश्या से भी रमा और जालपा का पिंड छुड़ा दिया है बाढ़ में उसे बहाकर हंसी तो तब आती है जब ख़टीक और कायस्थ परिवार समाहित हो जाते हैं और रक्तसंबंधी की तरह रहने लगते हैं; वास्तविक संसार और समाज इतना उदार नहीं है हां गबन की परिस्थितियां कैसे बन जाती हैं यह मनोविज्ञान सम्मत ढंग से वर्णित है आधुनिक परिप्रेक्ष्य में शायद उतना रुचिकर उपन्यास यह नहीं है का दूसरा यथार्थवादी उपन्यास है कहना चाहिए कि यह उसके विकास की अगली कड़ी है ग़बन का मूल विषय है महिलाओं का पति के जीवन पर प्रभाव ग़बन प्रेमचन्द के एक विशेष चिन्ताकुल विषय से सम्बन्धित उपन्यास है यह विषय है गहनों के प्रति पत्नी के लगाव का पति के जीवन पर प्रभाव गबन में टूटते मूल्यों के अंधेरे में भटकते पूर्ण मनोवृत्ति तथा पुलिस के चरित्र को बेबाकी से प्रस्तुत करते हुए कहानी को जीवंत बना दिया गया है,positive,happiness
